Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,5.900000,6.000000,5.900000,5.990000,5.978623,376000
2022-07-05,5.910000,5.920000,5.840000,5.840000,5.828908,475132
2022-07-06,5.950000,6.000000,5.790000,5.840000,5.828908,396000
2022-07-07,5.870000,6.090000,5.870000,6.050000,6.038509,1146600
2022-07-08,6.100000,6.230000,6.100000,6.150000,6.138319,1105651
2022-07-11,6.150000,6.200000,5.980000,6.030000,6.018547,636000
2022-07-12,6.030000,6.180000,5.980000,6.160000,6.148300,722000
2022-07-13,6.250000,6.450000,6.250000,6.390000,6.377863,2100000
2022-07-14,6.390000,6.710000,6.300000,6.450000,6.437749,2158000
2022-07-15,6.580000,6.580000,6.120000,6.200000,6.188224,1274000
2022-07-18,6.200000,6.250000,6.090000,6.200000,6.188224,1392000
2022-07-19,6.010000,6.680000,6.000000,6.660000,6.647350,2610400
2022-07-20,6.700000,7.160000,6.500000,7.020000,7.006667,4907000
2022-07-21,7.030000,7.170000,6.850000,6.880000,6.866932,1904000
2022-07-22,6.910000,7.020000,6.630000,6.930000,6.916837,1874000
2022-07-25,6.950000,7.050000,6.680000,6.860000,6.846971,1396900
2022-07-26,6.860000,6.860000,6.580000,6.680000,6.667312,1752000
2022-07-27,6.720000,7.630000,6.720000,7.550000,7.535660,10423200
2022-07-28,7.540000,8.150000,7.450000,7.880000,7.865033,11688500
2022-07-29,7.880000,7.920000,7.510000,7.860000,7.845071,3673600
2022-08-01,7.800000,7.980000,7.650000,7.740000,7.725298,2292000
2022-08-02,8.040000,8.350000,7.170000,7.200000,7.186325,10251700
2022-08-03,7.340000,7.840000,7.150000,7.540000,7.525679,4987600
2022-08-04,7.540000,7.400000,7.080000,7.220000,7.206286,2667300
2022-08-05,7.200000,7.340000,7.020000,7.130000,7.116457,2218000
2022-08-08,7.040000,7.800000,7.040000,7.740000,7.725298,3686000
2022-08-09,7.740000,7.990000,7.520000,7.850000,7.835090,2256700
2022-08-10,7.920000,7.990000,7.460000,7.590000,7.575584,2789000
2022-08-11,7.590000,7.940000,7.590000,7.810000,7.795166,2381261
2022-08-12,7.800000,7.800000,7.630000,7.730000,7.715318,460000
2022-08-15,7.780000,7.960000,7.650000,7.850000,7.835090,1056800
2022-08-16,7.850000,8.000000,7.800000,7.990000,7.974824,2054500
2022-08-17,7.990000,8.450000,7.990000,8.440000,8.423968,5114300
2022-08-18,8.400000,8.450000,8.290000,8.320000,8.304196,1420000
2022-08-19,8.220000,8.250000,7.960000,8.070000,8.054671,1146340
2022-08-22,7.980000,8.420000,7.860000,8.180000,8.164463,3231300
2022-08-23,8.410000,8.550000,8.080000,8.540000,8.523779,3762500
2022-08-24,8.420000,8.800000,8.100000,8.130000,8.114558,2500000
2022-08-25,8.280000,8.680000,8.250000,8.530000,8.513798,1443600
2022-08-26,8.520000,8.650000,8.310000,8.400000,8.384046,1719000
2022-08-29,8.380000,8.650000,7.890000,8.490000,8.473874,2704400
2022-08-30,8.450000,8.450000,8.120000,8.270000,8.254293,709200
2022-08-31,8.400000,8.400000,7.600000,7.800000,7.785185,2186000
2022-09-01,7.750000,7.990000,7.420000,7.500000,7.485755,2048000
2022-09-02,7.500000,7.990000,7.500000,7.740000,7.725298,1362000
2022-09-05,7.920000,8.260000,7.860000,8.170000,8.154483,1863200
2022-09-06,8.190000,8.350000,8.120000,8.250000,8.234330,1274000
2022-09-07,8.220000,8.330000,8.000000,8.150000,8.134521,593000
2022-09-08,8.060000,8.260000,8.030000,8.240000,8.224349,835400
2022-09-09,8.260000,8.260000,8.090000,8.190000,8.174443,771000
2022-09-13,8.240000,8.240000,7.900000,8.160000,8.144502,747100
2022-09-14,8.150000,8.310000,8.010000,8.120000,8.104577,544000
